Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,4,symmetric,symmetric,0.30561115151082946,-8.466740051276242
75% Corpus,4,asymmetric,0.01,0.30459631849861746,-9.113476545632015
75% Corpus,4,asymmetric,0.31,0.31170535911035235,-8.476774956478861
75% Corpus,4,asymmetric,0.61,0.32896832059844355,-8.522275341067889
75% Corpus,4,asymmetric,0.9099999999999999,0.3608480977880507,-8.57727694895039
75% Corpus,4,asymmetric,symmetric,0.3090359477311958,-8.472822369537187
75% Corpus,5,0.01,0.01,0.3088514178643704,-9.11673184054199
75% Corpus,5,0.01,0.31,0.29096764021278826,-8.471877262550663
75% Corpus,5,0.01,0.61,0.34825306618392887,-8.471675255386897
75% Corpus,5,0.01,0.9099999999999999,0.3425216873798157,-8.460390205966112
75% Corpus,5,0.01,symmetric,0.30393895305229607,-8.469264142067066
75% Corpus,5,0.31,0.01,0.30526751899192056,-9.17036210335368
75% Corpus,5,0.31,0.31,0.2931808007304979,-8.502370367727394
75% Corpus,5,0.31,0.61,0.34024047874607827,-8.493942560606905
75% Corpus,5,0.31,0.9099999999999999,0.3472119839667977,-8.487063572887356
75% Corpus,5,0.31,symmetric,0.30050114660068666,-8.504511243581376
75% Corpus,5,0.61,0.01,0.3020209669290237,-9.205161537576148
75% Corpus,5,0.61,0.31,0.29521176341409294,-8.521590298275452
75% Corpus,5,0.61,0.61,0.3385760505890385,-8.512734872305119
75% Corpus,5,0.61,0.9099999999999999,0.3699262012344481,-8.510902507667
75% Corpus,5,0.61,symmetric,0.30061986726038936,-8.526651968339126
75% Corpus,5,0.9099999999999999,0.01,0.3022100504303505,-9.231057110565413
75% Corpus,5,0.9099999999999999,0.31,0.2931933139270415,-8.537573501015448
75% Corpus,5,0.9099999999999999,0.61,0.34247157649476784,-8.527618041347388
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.37925394114793126,-8.529627458677796
75% Corpus,5,0.9099999999999999,symmetric,0.2982802253323929,-8.54054942386887
75% Corpus,5,symmetric,0.01,0.3065810634295386,-9.149333106414913
75% Corpus,5,symmetric,0.31,0.2909463545885123,-8.49253515965638
75% Corpus,5,symmetric,0.61,0.3484302668466827,-8.486725856221952
