"word1","word2","n"
"va","s'aimer",16
"vos","mères",16
"wouah","wouah",16
"2","1",15
"4","coins",15
"7","7",15
"7ème","ciel",15
"accusateur","accusateur",15
"africain","j'voulais",15
"as","p",15
"attends","attends",15
"b","boy",15
"baby","love",15
"bât","7",15
"brooklyn","brooklyn",15
"burning","burning",15
"cardi","cardi",15
"carré","vip",15
"cette","merde",15
"coins","d'la",15
"crime","paie",15
"d'la","france",15
"di","mwen",15
"entre","deux",15
"fais","péter",15
"finisse","ensemble",15
"grand","mère",15
"hey","j'fais",15
"hmm","hmm",15
"hold","up",15
"j'aurais","aimé",15
"j'aurais","voulu",15
"j'en","peux",15
"j'me","lève",15
"jamais","mort",15
"kacem","wapalek",15
"l'âge","d'or",15
"lui","parler",15
"mafia","k",15
"mieux","vaut",15
"n'a","changé",15
"n'est","jamais",15
"ne","pourra",15
"ouais","bah",15
"partie","d'la",15
"portée","d'main",15
"qu'on","voit",15
"qu'un","seul",15
"respect","forcer",15
"rien","rien",15
"sais","qu'on",15
"t'sais","quoi",15
"va","l'faire",15
"9","4",14
"ah","ouai",14
"alléluia","alléluia",14
"american","airlines",14
"aucune","solution",14
"beautiful","day",14
"besoin","d'être",14
"black","man",14
"bouteille","bois",14
"c’est","toujours",14
"cette","époque",14
"cette","terre",14
"cours","cours",14
"dawa","dawa",14
"départ","retour",14
"deux","milles",14
"dire","merci",14
"douce","va",14
"écoute","bien",14
"faire","l'analyse",14
"femme","plaire",14
"gueule","d'ange",14
"j'le","fais",14
"j'y","pense",14
"jazzy","bazz",14
"jules","césar",14
"l'ancienne","mec",14
"laissé","passer",14
"leurs","yeux",14
"loup","solitaire",14
"m'en","aller",14
"m'en","fous",14
"m’a","dit",14
"ne","bouge",14
"ne","joue",14
"ne","va",14
"non","ne",14
"one","classé",14
"pantin","ciao",14
"pense","qu'à",14
"qu'un","homme",14
"réalité","souvent",14
"rien","dire",14
"s'en","sortir",14
"show","business",14
"t'en","as",14
"va","lui",14
"veux","qu'on",14
"vie","m'a",14
"113","fout",13
"500","one",13
"an","ka",13
"aurait","pu",13
"bé","tom",13
"beat","beat",13
"bébé","bébé",13
"ben","j",13
"besoin","d'une",13
"beuh","shit",13
"bienvenue","chez",13
"big","bang",13
"bonnet","93",13
"bx","vibes",13
"cantona","crois",13
"certains","diront",13
"check","the",13
"choses","simples",13
"col","levé",13
"combien","ont",13
"connu","l'âge",13
"d","d",13
"d'la","crème",13
"del","bor",13
"do","the",13
"el","matador",13
"empire","sauvage",13
"étoile","légendaire",13
"get","it",13
"heure","sonne",13
"high","for",13
"j'fais","toujours",13
"j'm'en","tape",13
"j'me","souviens",13
"j’me","dis",13
"j’me","sens",13
"j’suis","désolé",13
"j’te","mets",13
"jamais","rien",13
"ka","krié",13
"krié","anmwé",13
"marseille","étoile",13
"mauvais","garçon",13
"meute","c’est",13
"n'est","qu'un",13
"ne","connais",13
"ne","crois",13
"ne","manque",13
"ne","reste",13
"never","let",13
"nos","voix",13
"nulle","part",13
"personne","t'a",13
"petit","martien",13
"qu'je","suis",13
"qu'on","s'en",13
"qu’on","pense",13
"quelques","déceptions",13
"rap","quelques",13
"regarde","jamais",13
"saint","denis",13
"sauvage","empire",13
"seille","o",13
"show","bizness",13
"suis","déjà",13
"t'en","penses",13
"tasses","pé",13
"team","j'fais",13
"toujours","partie",13
"va","chercher",13
"va","prendre",13
"verre","d'eau",13
"vi","ser",13
"1","12",12
"1","fry",12
"4matic","automatique",12
"5","ans",12
"absolem","absolem",12
"amigo","hum",12
"amina","eh",12
"apprendre","comprendre",12
"ariva","eh",12
"association","d'gens",12
"aucun","sens",12
"aux","aguets",12
"aux","yeux",12
"ba","ba",12
"bâtards","ont",12
"battez","battez",12
"bédo","bédo",12
"belsunce","breakdown",12
"bi","chwiya",12
"big","step",12
"bombes","c’était",12
"boulaleuleu","boulaleuleu",12
"building","labeu",12
"c’était","paris",12
"carpe","diem",12
"chance","dire",12
"chihua","chihuahua",12
"ciao","amigo",12
"clown","ruffnec",12
"comprendre","entreprendre",12
"côté","bestial",12
"crachera","deux",12
"d'autres","viens",12
"d'la","frappe",12
"d'la","musique",12
"d’amis","amis",12
"demi","deux",12
"dire","s",12
"épaules","j'me",12
"fais","boumer",12
"faute","wo",12
"flex","retro",12
"frelo","fais",12
"fucked","up",12
"get","up",12
"goye","goye",12
"gueule","gueule",12
"hass","tue",12
"he","yo",12
"hey","do",12
"ien","clis",12
"in","your",12
"j'aime","j'aime",12
"j'pense","qu'à",12
"j'veux","voir",12
"j’ai","pris",12
"jeune","con",12
"jeunes","entrepreneurs",12
"jusqu'au","7ème",12
"l'adrénaline","monte",12
"l'attends","t'attends",12
"l'entendre","dire",12
"l'imparfait","l'imparfait",12
"laisse","faire",12
"laisse","laisse",12
"lever","progresser",12
"limites","dépasse",12
"luego","fais",12
"lui","ouvrir",12
"m'ont","dit",12
"mafia","bende",12
"mafia","wouh",12
"match","nul",12
"mauvais","mauvais",12
"mignon","garçon",12
"milles","douilles",12
"mode","flex",12
"mwen","kijan",12
"n'ai","jamais",12
"ne","cesse",12
"ne","dit",12
"ne","t'en",12
"ne","vais",12
"nice","retro",12
"one","love",12
"ont","couru",12
"ont","peur",12
"os","raconte",12
"oster","lapwass",12
"ouais","g",12
"pala","pala",12
"pala","paleng",12
"pare","balles",12
"perd","patience",12
"pew","pew",12
"progresser","lutter",12
"putain","d'son",12
"qu'on","mise",12
"qu'on","nique",12
"qu'tu","sois",12
"rap","conscient",12
"rap","sera",12
"s","qu’on",12
"s'est","perdu",12
"sais","d'où",12
"secteur","ä",12
"sept","zéro",12
"sin","cou",12
"six","heures",12
"solitaire","j’ai",12
"space","retro",12
"suis","perdu",12
"suis","qu'un",12
"swing","it",12
"t'a","validé",12
"t'es","chaud",12
"ter","ter",12
"terre","mère",12
"the","flow",12
"tiers","monde",12
"tomber","dessus",12
"toutes","celles",12
"va","finir",12
"va","mal",12
"vida","vida",12
"visages","100",12
"zéro","soixante",12
"15","ans",11
"15","heures",11
"3","4",11
"4","4",11
"9","2",11
"95","200",11
"abandonner","abandonner",11
"années","80",11
"ans","qu'on",11
"ara","ara",11
"arrête","arrête",11
"aucune","idée",11
"aux","anges",11
"aux","gens",11
"aux","lèvres",11
"bah","empire",11
"benita","benita",11
"besoin","d'personne",11
"bien","loin",11
"bigflo","oli",11
"bonnet","bah",11
"bouge","cette",11
"c'que","j'veux",11
"c'que","t'en",11
"c'qui","s'passe",11
"camila","cabello",11
"cette","voix",11
"chwiya","bi",11
"claude","mc",11
"d'ma","mère",11
"d'où","j'sors",11
"d'y","croire",11
"demi","portion",11
"différence","entre",11
"dis","lui",11
"dis","qu'tu",11
"dois","rester",11
"dom","tom",11
"don't","care",11
"eh","amina",11
"empire","poto",11
"eya","eya",11
"grosse","tête",11
"haine","95",11
"i'm","the",11
"in","my",11
"issu","d'un",11
"j'dois","faire",11
"j'les","vois",11
"j'sors","d'une",11
"j'te","laisse",11
"j'y","crois",11
"j’ai","grandi",11
"j’me","suis",11
"jamais","ne",11
"jamais","su",11
"l'aube","baby",11
"laisse","parler",11
"love","baby",11
"lui","faire",11
"marche","droit",11
"mettre","bien",11
"mh","mh",11
"midi","midi",11
"monde","qu'on",11
"my","neggas",11
"ne","parle",11
"ne","répond",11
"ne","sommes",11
"ne","voit",11
"no","more",11
"nos","gueules",11
"obligé","obligé",11
"peux","toujours",11
"pôle","emploi",11
"put","your",11
"qu'au","fond",11
"qu'on","s'aime",11
"quinze","heures",11
"sais","qu'il",11
"six","mois",11
"skurt","skurt",11
"suis","venu",11
"t'auras","beau",11
"time","bomb",11
"tom","traîtres",11
"toujours","idem",11
"toute","cette",11
"toutes","nos",11
"tumeur","tumeur",11
"up","big",11
"va","falloir",11
"veau","cer",11
"vos","lois",11
"vwè","mizè",11
"wallah","wallah",11
"want","to",11
"we","go",11
"10","000",10
"12","ans",10
"360","360",10
"40","ans",10
"africains","africains",10
"ah","j'enchaine",10
"ai","assez",10
"aime","jusqu'à",10
"allait","bien",10
"allons","enfants",10
"amor","amor",10
"an","pa",10
"ándale","ándale",10
"appuyer","j'dois",10
"aux","platines",10
"baby","no",10
"ballon","d'or",10
"bang","big",10
"banlieue","nord",10
"bas","monde",10
"bébé","bouge",10
"bébé","ne",10
"besoin","qu'tu",10
"bêtement","bêtement",10
"bien","qu'on",10
"bien","rigoler",10
"bobo","allo",10
"bomayé","bomayé",10
"bonne","chance",10
"bonnes","vibes",10
"bougent","leurs",10
"boy","bad",10
"c’est","chaud",10
"cash","flouze",10
"cette","année",10
"cette","envie",10
"cette","france",10
"cette","musique",10
"cette","nuit",10
"cinq","heures",10
"come","back",10
"communauté","rap",10
"d'un","quartier",10
"d'une","ronde",10
"d'une","vie",10
"daddy","see",10
"day","beautiful",10
"dès","qu'on",10
"dire","j'aimerais",10
"dis","qu'on",10
"enméy","ho",10
"faire","croire",10
"faire","feu",10
"faire","sauter",10
"fêlé","fêlé",10
"fonctions","vitales",10
"gauche","droite",10
"gens","pensent",10
"girha","hia",10
"go","baby",10
"grand","frère",10
"groupe","assassine",10
"gue","dro",10
"ha","hun",10
"he","band",10
"is","my",10
"j'enchaine","deux",10
"j'enchaine","trois",10
"j'lui","ai",10
"j'lui","dis",10
"j'me","pose",10
"j'pense","aux",10
"j'te","fais",10
"jay","z",10
"jaya","w",10
"jeune","homme",10
"jusqu'à","c'que",10
"ka","palé",10
"l","e",10
"l'impression","d'être",10
"laissez","passer",10
"life","my",10
"live","for",10
"lois","contre",10
"lui","dire",10
"lui","ont",10
"m'a","bousillé",10
"m'as","dit",10
"marche","seul",10
"mc","circulaire",10
"mêmes","erreurs",10
"mini","mini",10
"mise","arrête",10
"mizè","pa",10
"monde","jump",10
"monde","ne",10
"my","nigga",10
"n'ai","rien",10
"n'ont","rien",10
"nkele","n'ta",10
"nos","corps",10
"nos","petits",10
"nos","sons",10
"nqnt","nqnt",10
"nuits","blanches",10
"ont","mis",10
"ouais","ah",10
"pa","vwè",10
"palestine","arrête",10
"paw","paw",10
"pète","fort",10
"piou","piou",10
"poésie","j'en",10
"qu'as","18",10
"qu'ça","va",10
"qu’on","aime",10
"quatre","pattes",10
"quelques","mots",10
"quoi","t’es",10
"real","b",10
"rends","compte",10
"ronde","belsunce",10
"s","o",10
"sait","d'où",10
"sauvage","sauvage",10
"sera","toujours",10
"signes","j'sais",10
"sinon","j'te",10
"soi","disant",10
"suis","j'étais",10
"toujours","demain",10
"toulou","toulou",10
"tourne","tourne",10
"trois","gars",10
"va","doucement",10
"veux","killer",10
"veux","rester",10
"ville","hey",10
"voix","j'aime",10
"w","l",10
"w","machi",10
"walidiya","girha",10
"wi","wi",10
"x2","arabia",10
"your","mummy",10
"20","piges",9
"3","heures",9
"abracadabrantesque","abracadabrantesque",9
"aladin","aladin",9
"amis","ennemis",9
"ancien","combattant",9
"aniès","celle",9
"assaut","lyrical",9
"banlieue","française",9
"bazardée","bazardée",9
"beaucoup","jouent",9
"belles","belles",9
"besoin","d’un",9
"bestiols","be",9
"bibi","boy",9
"bien","gamin",9
"billets","verts",9
"black","black",9
"bleus","non",9
"bonne","weed",9
"bougez","vos",9
"boy","swag",9
"braquage","vocal",9
"burn","out",9
"c’est","parti",9
"ca","parle",9
"camp","camp",9
"can't","get",9
"césar","césar",9
"cette","dernière",9
"cette","saloperie",9
"cettes","paroles",9
"chambre","froide",9
"charly","greane",9
"chérie","j’ai",9
"cla","claque",9
"cœurs","aie",9
"combien","d'temps",9
"contre","lois",9
"cordes","vocales",9
"couler","couler",9
"creux","toujours",9
"d'la","rue",9
"d'la","ville",9
"d'un","soir",9
"déjà","dit",9
"demain","rien",9
"deux","minutes",9
"dieu","m'a",9
"dire","qu'elle",9
"dit","fais",9
"dit","t'es",9
"dix","huit",9
"doucement","va",9
"égales","j'déterre",9
"engrener","allons",9
"eux","mêmes",9
"exact","certains",9
"faire","danser",9
"faire","taire",9
"fais","tourner",9
"fera","peur",9
"fille","ne",9
"fions","question",9
"fou","fou",9
"france","défonce",9
"g","ah",9
"g","vas",9
"glissé","an",9
"green","pisse",9
"hache","leurs",9
"hands","up",9
"hardcore","93",9
"hardis","pardi",9
"hela","hela",9
"hey","j'barode",9
"hey","sexy",9
"high","high",9
"hop","assaut",9
"idées","noires",9
"is","the",9
"it","is",9
"j","ai",9
"j'aimerais","bien",9
"j'crois","qu'c'est",9
"j'les","ai",9
"j'm'en","vais",9
"j't'entends","parler",9
"j'te","vois",9
"ki","ka",9
"kind","of",9
"leurs","meres",9
"leurs","rates",9
"liaisons","dangereuses",9
"lois","manifestations",9
"lui","dit",9
"lune","loin",9
"m'a","mis",9
"m'a","volé",9
"m'en","fou",9
"main","droite",9
"mama","africa",9
"manifestations","bande",9
"merci","merci",9
"merde","113",9
"mi","temps",9
"mieux","qu'un",9
"mille","deux",9
"monde","veut",9
"moula","gang",9
"munitions","beaucoup",9
"music","music",9
"n'a","rien",9
"n'as","jamais",9
"ne","cherche",9
"ne","compte",9
"ne","crains",9
"ne","dis",9
"ne","jamais",9
"ne","laisse",9
"ne","pense",9
"ne","respecte",9
"ne","rien",9
"ne","s'agit",9
"ne","soit",9
"neggas","my",9
"noir","désir",9
"nos","souvenirs",9
"ola","ola",9
"oui","viens",9
"partout","partout",9
"petits","cœurs",9
"peux","faire",9
"pire","cauchemar",9
"pire","ennemi",9
"pire","qu'un",9
"première","ligne",9
"pu","faire",9
"putain","d'flow",9
"qu'on","parle",9
"qu'tu","m'aimes",9
"qu'un","loup",9
"question","ca",9
"quoi","d’neuf",9
"rap","hardcore",9
"rates","exact",9
"rendre","compte",9
"révolution","prendras",9
"s'est","passé",9
"saïan","supa",9
"sais","déjà",9
"saloperie","bougez",9
"sens","bien",9
"sexy","wow",9
"sonne","90",9
"suis","fier",9
"suis","seul",9
"t'en","veux",9
"t'en","voulais",9
"t'es","mort",9
"t'es","t'es",9
"tant","mieux",9
"terre","d'afrique",9
"tête","baissée",9
"the","beat",9
"tits","pe",9
"toujours","celui",9
"troisième","guerre",9
"underground","underground",9
"up","regarde",9
"va","fêter",9
"va","t",9
"veux","faire",9
"veux","vivre",9
"vibes","sortent",9
"vida","loca",9
"vie","ne",9
"viens","voir",9
"vingt","ans",9
"vos","fions",9
"vos","trucs",9
"vraiment","beau",9
"vrais","négros",9
"wadadadem","wadadadomdem",9
"waw","waw",9
"wouh","bende",9
"wu","tang",9
"xxx","xxx",9
"yeux","bleus",9
"your","hands",9
"10","balles",8
"12","1",8
"187","flow",8
"2012","2012",8
"24","carat",8
"34","degrés",8
"360","34",8
"500","watts",8
"7","bât",8
"75","demeure",8
"9.3","9.4",8
"9.4","code",8
"92014","raisons",8
"adama","adama",8
"affaires","aïe",8
"afrikan","money",8
"ahou","j'arrive",8
"aie","nos",8
"ain’t","no",8
"aller","quoi",8
"aller","vite",8
"allez","eh",8
"allez","nique",8
"allez","vas",8
"amal","apprendre",8
"ambitieux","courageux",8
"amigo","ciao",8
"andale","andale",8
"aprés","l'espoir",8
"après","bectance",8
"armée","stargate",8
"armes","ben",8
"arrêtez","arrêtez",8
"art","armé",8
"atk","authentiques",8
"aucun","moyen",8
"audemars","shit",8
"autiste","j'baise",8
"aux","autres",8
"aux","femmes",8
"avait","l'revolver",8
"avait","rien",8
"b","e",8
"bad","trip",8
"bande","organisée",8
"bave","bave",8
"bawss","bawss",8
"because","to",8
"belle","caisse",8
"ben","j’sais",8
"besoin","besoin",8
"biatch","biatch",8
"biberon","biberon",8
"bien","faire",8
"billets","mauves",8
"billets","midi",8
"bla","blasé",8
"black","out",8
"bloque","bloque",8
"bois","b",8
"bomaye","bomaye",8
"bonheur","n'est",8
"boom","shak",8
"bor","del",8
"bouche","cousue",8
"bouge","bébé",8
"bouge","danse",8
"boulogne","b",8
"boum","boum",8
"bout","that",8
"breakdown","d'où",8
"brille","l'humain",8
"brilleront","toujours",8
"brrreh","brrreh",8
"brûle","brûle",8
"bush","s'en",8
"buvance","après",8
"c'qu’elles","veulent",8
"c'que","j'fais",8
"c’est","fini",8
"call","my",8
"calma","éh",8
"calmant","hey",8
"calmant","hmm",8
"caméra","d'booska",8
"carjack","chiraq",8
"cdouxdeeeeeeeeeeeeehhhhhhhhh","eh",8
"cdouxdeeeehhhh","eh",8
"centimètre","conquis",8
"charla","charla",8
"chaud","gars",8
"chez","eux",8
"choses","qu'on",8
"cité","s'éteint",8
"cliquez","dansez",8
"coche","merde",8
"code","187",8
"cœur","danse",8
"combien","d'fois",8
"commandement","numéro",8
