"word1","word2","n"
"ne","veux",4
"négro","j'fais",4
"nique","vos",4
"niquer","chez",4
"niquer","dois",4
"no","more",4
"noirs","hoodie",4
"non","oui",4
"nos","bâtiments",4
"nos","cœurs",4
"nos","espoirs",4
"nos","galères",4
"nos","jours",4
"nos","mots",4
"nos","voix",4
"nouvelle","mode",4
"ont","beau",4
"ont","pris",4
"oouhouh","bruxelles",4
"organisé","13",4
"ouais","bien",4
"oui","ah",4
"p","sauvage",4
"p'tit","con",4
"pac","pac",4
"paranoïa","bad",4
"partir","d’ici",4
"pastis","miam",4
"paysage","paysage",4
"pense","qu'à",4
"peux","téléphoner",4
"peux","toujours",4
"place","aux",4
"po","po",4
"population","xxx",4
"porte","force",4
"pourtant","j'fais",4
"pouvoir","faire",4
"premier","album",4
"première","ligne",4
"présent","malgré",4
"prix","nobel",4
"pu","faire",4
"puchka","t’es",4
"putain","d",4
"qu'au","cœur",4
"qu'au","fond",4
"qu'ils","veulent",4
"qu'je","suis",4
"qu'mon","monde",4
"qu'on","parle",4
"qu'on","puisse",4
"qu'on","vaut",4
"qu'un","homme",4
"qu'une","seule",4
"qu’au","micro",4
"qu’je","parle",4
"quatre","pattes",4
"question","d'money",4
"quoi","finir",4
"quoi","qu'il",4
"rappeur","préféré",4
"re","fré",4
"réel","non",4
"rendre","fada",4
"reste","couché",4
"retour","aux",4
"rien","dit",4
"rien","faire",4
"rien","rien",4
"rocks","rocks",4
"rouleau","dis",4
"rue","m'a",4
"rue","pélo",4
"rythme","parler",4
"s'agissait","d'aimer",4
"s'en","branle",4
"s'est","dit",4
"s'est","passé",4
"s'il","s'agissait",4
"s'installer","noir",4
"s'la","prendre",4
"s'la","raconte",4
"s'ra","jamais",4
"s'tu","veux",4
"sais","bien",4
"sais","quoi",4
"sais","s'que",4
"sait","bien",4
"sang","coule",4
"sauvage","sauvage",4
"savais","toutes",4
"scu","be",4
"secteur","ä",4
"sens","invincible",4
"septembre","j'vais",4
"sidi","badr",4
"singulier","noir",4
"soit","t’es",4
"solution","x4",4
"star","system",4
"stylo","bic",4
"subir","toutes",4
"suis","cette",4
"suis","présent",4
"t","max",4
"t'a","dit",4
"t'avait","dit",4
"t'es","cocu",4
"t'es","fou",4
"t'es","moche",4
"t’es","glaces",4
"taffe","j'reprends",4
"tant","mieux",4
"tapis","rouge",4
"tching","tching",4
"té","sau",4
"terre","entière",4
"the","way",4
"toute","l'équipe",4
"toute","niquer",4
"toutes","leurs",4
"trois","poufiasses",4
"trouve","jolie",4
"tsr","crew",4
"ventre","vide",4
"veulent","qu'a",4
"veux","d'la",4
"veux","dire",4
"veux","jouer",4
"victime","d'un",4
"vie","dure",4
"vie","infecte",4
"vie","oui",4
"vieille","dame",4
"ville","mauvais",4
"vois","déjà",4
"vos","mères",4
"voulais","baiser",4
"x","men",4
"x2","2",4
"x3","again",4
"yo","écoute",4
"yo","hey",4
"your","own",4
"1","euro",3
"10","euros",3
"100","mp3",3
"11","09",3
"18","heures",3
"2","b.e.labeu",3
"2","tess",3
"2,3","loups",3
"2020","ah",3
"28","décembre",3
"30","ans",3
"357","prêt",3
"36","dernière",3
"360","300",3
"44","d'une",3
"5","majeur",3
"5","minutes",3
"5","potos",3
"5h","chrono",3
"6","6",3
"6","7",3
"6","ans",3
"7","milliards",3
"9","9",3
"93","district",3
"accompagné","d'un",3
"action","yo",3
"admirateur","d'aleister",3
"affaires","j’ai",3
"affaires","x2",3
"ah","bah",3
"ai","assez",3
"ai","déjà",3
"ai","fais",3
"ai","plein",3
"ai","vécu",3
"aïe","j'represente",3
"aime","bien",3
"all","alone",3
"all","black",3
"all","in",3
"aller","laisse",3
"aller","m'en",3
"aller","parle",3
"allez","voir",3
"allô","allô",3
"âme","s'est",3
"âmes","perdues",3
"an","ka",3
"an","pa",3
"an","té",3
"années","90",3
"années","passent",3
"ans","après",3
"apollo","double",3
"après","j'passe",3
"après","nuit",3
"arrêts","d'car",3
"attends","attends",3
"aucune","raison",3
"aucune","valeur",3
"aujourd'hui","t'es",3
"aurait","pu",3
"autour","d'un",3
"aux","alentours",3
"aux","allures",3
"aux","anges",3
"aux","armes",3
"aux","chiens",3
"aux","cieux",3
"aux","gens",3
"aux","lèvres",3
"aux","préceptes",3
"aux","urgences",3
"avance","han",3
"avancent","masqués",3
"aviez","oublié",3
"aw","ké",3
"ayy","ayy",3
"b.l.o.c","clinique",3
"bad","bitch",3
"bad","game",3
"bad","girl",3
"bad","trip",3
"bail","deux",3
"balle","trois",3
"balles","perdues",3
"balles","réelles",3
"bande","d'enfoiré",3
"bande","vidéo",3
"banlieue","constat",3
"banlieue","nord",3
"banque","suisse",3
"barque","l’aime",3
"bas","s'élèvent",3
"be","scu",3
"beau","papa",3
"beaux","gosses",3
"beh","ouais",3
"bella","bella",3
"belle","eh",3
"béni","dieu",3
"bertrand","cantat",3
"beur","noir",3
"beverly","hills",3
"bien","mérité",3
"bien","profond",3
"bien","qu'on",3
"bien","shevchenko",3
"bien","souvent",3
"big","bang",3
"big","shame",3
"bigflo","oli",3
"bill","gates",3
"bitch","men",3
"bitsu","ayy",3
"blanche","maitresse",3
"blanche","neige",3
"blem","pro",3
"bloc","operatoire",3
"bloc","uni",3
"block","deille",3
"bok","up",3
"bol","d'air",3
"bomayé","musique",3
"bonne","direction",3
"bonnes","notes",3
"bons","moments",3
"bonus","track",3
"boomerang","putain",3
"boudu","con",3
"bouffée","d'aya",3
"bourre","xxx",3
"bout","d'stick",3
"boy","black",3
"brad","pitt",3
"brain","with",3
"briller","j’suis",3
"brutalité","après",3
"building","big",3
"bye","j'vais",3
"byento","timoun",3
"c'était","mieux",3
"c'qu'il","parait",3
"c'que","j'veux",3
"c'que","j'vois",3
"c'qui","s'passe",3
"c’est","chaud",3
"c’est","clair",3
"c’est","lui",3
"c’est","quoi",3
"c’est","triste",3
"ça","ouais",3
"caen","caen",3
"caisse","claire",3
"camp","délinquant",3
"canalise","nos",3
"capte","bien",3
"carte","black",3
"carte","blanche",3
"cause","d'elle",3
"cause","perdue",3
"cayenne","ouais",3
"cette","heure",3
"cette","peine",3
"cette","phrase",3
"cette","semaine",3
"cettes","paroles",3
"chaînes","toujours",3
"chante","cette",3
"chemin","droit",3
"cheri","donne",3
"chez","lui",3
"chime","t'es",3
"chinese","connection",3
"chiotte","ca",3
"choix","entre",3
"ciao","ciao",3
"clan","clan",3
"clara","warning",3
"classe","affaire",3
"clean","nique",3
"clinique","casey",3
"clique","clique",3
"cliquez","j'veux",3
"coche","bye",3
"come","back",3
"comprend","comprend",3
"comprend","l'humanité",3
"compte","qu'on",3
"con","fallait",3
"constat","laborieux",3
"contre","l'humanité",3
"cordon","ombilical",3
"corps","d’alien",3
"corps","sain",3
"cote","ca",3
"couler","l'encre",3
"coup","j'rigole",3
"coup","sûr",3
"courant","passe",3
"courber","l’échine",3
"coussins","d’air",3
"couz","motus",3
"crazy","qu’est",3
"creux","ahh",3
"crime","contre",3
"crises","cardiaques",3
"cristiano","ronaldo",3
"crois","j’suis",3
"d","d",3
"d","spee",3
"d'à","côté",3
"d'aleister","crowley",3
"d'amor","sens",3
"d'amour","ne",3
"d'aya","protège",3
"d'diez","marty",3
"d'en","face",3
"d'l'onu","9.3",3
"d'la","cité",3
"d'la","drogue",3
"d'la","haute",3
"d'la","tête",3
"d'ma","faute",3
"d'ma","mère",3
"d'où","ca",3
"d'p4","j'retourne",3
"d'un","coeur",3
"d'un","côté",3
"d'un","film",3
"d'un","gros",3
"d'un","linceul",3
"d'un","putain",3
"d'une","équipe",3
"d'une","génération",3
"d’air","pendant",3
"d’en","bas",3
"d’la","magie",3
"d’mes","frères",3
"dalle","yooo",3
"décembre","77",3
"délinquant","quant",3
"demande","pardon",3
"dernier","bout",3
"dernière","inspi",3
"deux","branche",3
"deux","cas",3
"deux","gamins",3
"deux","minutes",3
"deux","secondes",3
"deux","semaines",3
"devant","ey",3
"devient","dur",3
"devoir","valider",3
"di","di",3
"didier","deschamps",3
"die","nigga",3
"dieu","soit",3
"dire","merci",3
"dire","qu'elle",3
"dire","qu’on",3
"dirigé","vers",3
"dis","quoi",3
"disent","athées",3
"disparaît","nuit",3
"dit","fais",3
"dit","merci",3
"dit","qu'on",3
"dit","quoi",3
"dit","rien",3
"dix","minutes",3
"dix","piges",3
"dix","sept",3
"dj","abdel",3
"dj","fly",3
"dj","kayz",3
"dois","changer",3
"dois","oublier",3
"dona","papin",3
"donne","2,3",3
"donne","20",3
"donne","rendez",3
"donner","d'la",3
"double","1",3
"double","o",3
"double","s",3
"doux","m’donnaient",3
"drame","byento",3
"drogue","cliquez",3
"drogue","dure",3
"eh","ben",3
"eh","eh",3
"end","j’vie",3
"enfant","sera",3
"enfants","sortaient",3
"ennemi","public",3
"ennemis","ghetto",3
"ensuite","tenir",3
"entrer","l'accusé",3
"épileptique","indiquant",3
"equipe","belhek",3
"es","carte",3
"était","hein",3
"était","mort",3
"etats","unis",3
"ethor","skull",3
"étoile","filante",3
"ey","ey",3
"ey","qu’est",3
"fab","gang",3
"faire","couler",3
"faire","partir",3
"faire","sauter",3
"faire","voir",3
"fais","cette",3
"fais","mal",3
"fais","rien",3
"fais","tourner",3
"fassent","vibrer",3
"fausse","note",3
"faute","pauvre",3
"featuring","mec",3
"fera","couler",3
"fériés","fériés",3
"février","qu'on",3
"final","ne",3
"fleur","fanée",3
"fonce","dé",3
"fond","qu'est",3
"fond","sonore",3
"fondent","l'étendu",3
"fonky","family",3
"force","d'être",3
"fosse","ouai",3
"france","d'en",3
"frite","ca",3
"fume","cette",3
"futur","plutôt",3
"fwa","an",3
"g’z","mauvais",3
"gang","bang",3
"gars","sûrs",3
"gaz","remet",3
"génération","nique",3
"gens","jusqu'à",3
"gent","ar",3
"gg","x2",3
"ghetto","c",3
"ghetto","d",3
"gland","fils",3
"gland","gland",3
"go","here",3
"grand","père",3
"grande","classe",3
"groove","boom",3
"gros","scores",3
"gros","sons",3
"gue","din",3
"haine","m'a",3
"han","malgré",3
"happy","birthday",3
"hé","amigo",3
"heiiin","mauvais",3
"hein","heiiin",3
"hein","non",3
"hein","quoi",3
"heureux","soyons",3
"heuss","l'enfoiré",3
"holy","shit",3
"hook","x",3
"hu","hu",3
"hugo","boss",3
"hum","loup",3
"huss","huss",3
"i'm","getting",3
"ice","cube",3
"idée","comprend",3
"inspi","dernier",3
"iphone","4",3
"ipop","gwad",3
"is","the",3
"j","m",3
"j'aurais","déjà",3
"j'connais","personne",3
"j'crois","qu'j'ai",3
"j'essaye","d'être",3
"j'm'en","suis",3
"j'm'en","tape",3
"j'marche","seul",3
"j'me","balade",3
"j'me","casse",3
"j'me","fais",3
"j'me","prends",3
"j'me","promène",3
"j'obéis","j'obéis",3
"j'pé","ra",3
"j'peux","t'tailler",3
"j'répète","kevin",3
"j'retourne","jouer",3
"j'te","baise",3
"j'te","cause",3
"j'te","fais",3
"j'vais","m'en",3
"j'vais","poser",3
"j'vais","t'faire",3
"j'veux","dire",3
"j'veux","faire",3
"j'viens","faire",3
